State,Year,GDP 
ID,1999,9.6
ID,2000,11.3
ID,2001,2.6
ID,2002,2.1
ID,2003,3.3
ID,2004,6.6
ID,2005,8.2
ID,2006,2.8
ID,2007,1.8
ID,2008,2.8
ID,2009,4.9
ID,2010,1.7
ID,2011,0.1
ID,2012,0.2
ID,2013,4.0
ID,2014,3.0
ID,2015,1.0
ID,2016,3.8
ID,2017,2.2
ID,2018,5.9
ID,2019,4.7
ID,2020,1.3
ID,2021,6.6
IL,1999,3.8
IL,2000,3.7
IL,2001,0.2
IL,2002,0.8
IL,2003,1.7
IL,2004,2.8
IL,2005,1.6
IL,2006,2.5
IL,2007,1.1
IL,2008,0.8
IL,2009,2.6
IL,2010,1.5
IL,2011,1.9
IL,2012,2.1
IL,2013,0.0
IL,2014,2.1
IL,2015,1.4
IL,2016,0.3
IL,2017,0.5
IL,2018,2.5
IL,2019,0.6
IL,2020,5.4
IL,2021,6.2
IN,1999,3.4
IN,2000,3.9
IN,2001,1.8
IN,2002,2.3
IN,2003,4.4
IN,2004,3.8
IN,2005,0.9
IN,2006,2.0
IN,2007,2.7
IN,2008,1.0
IN,2009,7.1
IN,2010,6.4
IN,2011,0.5
IN,2012,0.5
IN,2013,2.3
IN,2014,3.1
IN,2015,1.0
IN,2016,1.9
IN,2017,1.7
IN,2018,3.5
IN,2019,0.5
IN,2020,3.1
IN,2021,5.8
IA,1999,2.1
IA,2000,4.6
IA,2001,1.2
IA,2002,2.4
IA,2003,4.6
IA,2004,8.5
IA,2005,3.3
IA,2006,1.4
IA,2007,4.3
IA,2008,1.9
IA,2009,2.5
IA,2010,2.7
IA,2011,1.5
IA,2012,4.0
IA,2013,0.0
IA,2014,5.1
IA,2015,2.7
IA,2016,0.4
IA,2017,0.3
IA,2018,1.6
IA,2019,0.1
IA,2020,1.6
IA,2021,5.1
KS,1999,2.6
KS,2000,2.7
KS,2001,0.3
KS,2002,1.6
KS,2003,1.7
KS,2004,1.0
KS,2005,3.8
KS,2006,5.2
KS,2007,5.2
KS,2008,1.8
KS,2009,3.8
KS,2010,1.1
KS,2011,2.8
KS,2012,1.6
KS,2013,0.1
KS,2014,2.6
KS,2015,2.4
KS,2016,3.3
KS,2017,1.2
KS,2018,2.1
KS,2019,0.7
KS,2020,0.9
KS,2021,2.5
KY,1999,3.2
KY,2000,2.6
KY,2001,0.2
KY,2002,2.5
KY,2003,2.8
KY,2004,2.9
KY,2005,4.0
KY,2006,2.6
KY,2007,0.7
KY,2008,0.3
KY,2009,4.1
KY,2010,4.2
KY,2011,1.1
KY,2012,1.4
KY,2013,1.9
KY,2014,0.0
KY,2015,0.8
KY,2016,0.7
KY,2017,1.0
KY,2018,1.1
KY,2019,2.7
KY,2020,2.4
KY,2021,5.0
LA,1999,2.1
LA,2000,2.9
LA,2001,1.4
LA,2002,2.1
LA,2003,4.1
LA,2004,4.9
LA,2005,6.5
LA,2006,0.9
LA,2007,6.2
LA,2008,0.8
LA,2009,1.8
LA,2010,4.4
LA,2011,4.8
LA,2012,0.2
LA,2013,2.9
LA,2014,3.0
LA,2015,1.0
LA,2016,2.0
LA,2017,2.2
LA,2018,1.7
LA,2019,0.1
LA,2020,7.9
LA,2021,1.3
ME,1999,5.0
ME,2000,4.6
ME,2001,2.0
ME,2002,2.9
ME,2003,2.6
ME,2004,3.9
ME,2005,1.2
ME,2006,0.9
ME,2007,0.2
ME,2008,1.3
ME,2009,1.9
ME,2010,1.3
ME,2011,1.0
ME,2012,0.2
ME,2013,0.8
ME,2014,1.5
ME,2015,0.7
ME,2016,2.1
ME,2017,1.6
ME,2018,2.9
ME,2019,2.5
ME,2020,0.6
ME,2021,6.2
MD,1999,3.9
MD,2000,4.1
MD,2001,4.3
MD,2002,3.4
MD,2003,2.9
MD,2004,4.3
MD,2005,3.9
MD,2006,1.4
MD,2007,0.3
MD,2008,2.6
MD,2009,1.1
MD,2010,4.5
MD,2011,2.2
MD,2012,0.0
MD,2013,0.5
MD,2014,1.6
MD,2015,2.5
MD,2016,3.4
MD,2017,1.7
MD,2018,0.5
MD,2019,0.0
MD,2020,4.3
MD,2021,4.6
MA,1999,5.3
MA,2000,8.0
MA,2001,1.3
MA,2002,0.0
MA,2003,1.8
MA,2004,2.7
MA,2005,2.0
MA,2006,2.3
MA,2007,2.8
MA,2008,2.1
MA,2009,1.9
MA,2010,4.6
MA,2011,2.0
MA,2012,1.9
MA,2013,0.4
MA,2014,1.5
MA,2015,3.7
MA,2016,1.6
MA,2017,1.6
MA,2018,3.9
MA,2019,2.5
MA,2020,2.8
MA,2021,6.6
MI,1999,5.9
MI,2000,2.0
MI,2001,3.0
MI,2002,2.8
MI,2003,1.6
MI,2004,1.2
MI,2005,1.8
MI,2006,1.6
MI,2007,0.6
MI,2008,5.8
MI,2009,9.0
MI,2010,5.5
MI,2011,2.6
MI,2012,1.9
MI,2013,1.4
MI,2014,1.3
MI,2015,2.2
MI,2016,1.9
MI,2017,1.2
MI,2018,2.0
MI,2019,0.1
MI,2020,4.0
MI,2021,7.4
MN,1999,3.8
MN,2000,6.8
MN,2001,0.1
MN,2002,2.4
MN,2003,4.2
MN,2004,4.3
MN,2005,3.3
MN,2006,0.1
MN,2007,0.7
MN,2008,0.7
MN,2009,3.8
MN,2010,3.5
MN,2011,2.3
MN,2012,1.5
MN,2013,2.4
MN,2014,2.8
MN,2015,1.5
MN,2016,1.6
MN,2017,1.1
MN,2018,2.9
MN,2019,1.1
MN,2020,3.5
MN,2021,5.4
MS,1999,2.9
MS,2000,0.5
MS,2001,0.9
MS,2002,1.4
MS,2003,4.3
MS,2004,2.3
MS,2005,2.5
MS,2006,2.3
MS,2007,1.2
MS,2008,1.6
MS,2009,3.7
MS,2010,0.6
MS,2011,0.1
MS,2012,2.0
MS,2013,0.1
MS,2014,0.0
MS,2015,0.2
MS,2016,0.8
MS,2017,0.0
MS,2018,0.4
MS,2019,0.1
MS,2020,0.5
MS,2021,3.8
MO,1999,2.9
MO,2000,2.6
MO,2001,0.7
MO,2002,1.8
MO,2003,2.1
MO,2004,2.8
MO,2005,2.3
MO,2006,0.6
MO,2007,0.2
MO,2008,2.1
MO,2009,2.4
MO,2010,1.5
MO,2011,0.8
MO,2012,1.1
MO,2013,1.1
MO,2014,0.5
MO,2015,1.1
MO,2016,0.0
MO,2017,0.8
MO,2018,1.2
MO,2019,2.1
MO,2020,2.7
MO,2021,4.6
MT,1999,0.4
MT,2000,2.6
MT,2001,0.9
MT,2002,3.1
MT,2003,4.0
MT,2004,5.1
MT,2005,5.2
MT,2006,3.2
MT,2007,4.8
MT,2008,0.1
MT,2009,2.4
MT,2010,3.2
MT,2011,2.7
MT,2012,1.1
MT,2013,1.5
MT,2014,2.0
MT,2015,3.6
MT,2016,2.1
MT,2017,3.5
MT,2018,1.3
MT,2019,0.6
MT,2020,0.3
MT,2021,4.8
NE,1999,2.1
NE,2000,3.7
NE,2001,2.4
NE,2002,1.3
NE,2003,5.8
NE,2004,2.6
NE,2005,3.9
NE,2006,2.8
NE,2007,2.3
NE,2008,0.1
NE,2009,0.1
NE,2010,3.7
NE,2011,5.3
NE,2012,0.1
NE,2013,1.9
NE,2014,3.1
NE,2015,3.2
NE,2016,1.1
NE,2017,1.4
NE,2018,2.3
NE,2019,1.6
NE,2020,0.4
NE,2021,3.4
NV,1999,7.1
NV,2000,4.2
NV,2001,0.9
NV,2002,3.6
NV,2003,4.4
NV,2004,10.5
NV,2005,8.0
NV,2006,4.0
NV,2007,0.8
NV,2008,2.9
NV,2009,8.4
NV,2010,1.2
NV,2011,0.7
NV,2012,1.1
NV,2013,0.3
NV,2014,0.9
NV,2015,4.2
NV,2016,2.7
NV,2017,3.9
NV,2018,3.4
NV,2019,4.3
